date,region,true_baseline,true_revenue,contrib_tv,adstock_tv,saturated_tv,contrib_paid_search,adstock_paid_search,saturated_paid_search,contrib_social,adstock_social,saturated_social,contrib_display,adstock_display,saturated_display
2021-01-04,canada,660532.0782331241,878986.5072183812,7565.455558813592,110818.38937077222,0.023642048621292475,112488.04165027122,96334.6717032829,0.4326463140395047,39549.16752947646,83066.0116160883,0.1977458376473823,58851.764246695806,30157.443315949582,0.7356470530836976
2021-01-11,canada,625065.5304005728,892756.530001089,54350.78715579123,260219.80096582446,0.1698462098618476,114674.14832548471,98554.91805297876,0.44105441663647965,41367.73529671801,87060.08091700781,0.20683867648359006,57298.328822522235,29191.793703394746,0.7162291102815279
2021-01-18,canada,677048.783463996,965677.5154786666,60220.17526200739,273549.582731608,0.1881880476937731,119723.79229457522,103847.05121426132,0.4604761242099047,50625.904442990155,108311.64138519939,0.2531295222149508,58058.86001509788,29655.312920521705,0.7257357501887235
2021-01-25,canada,683669.4614532727,964854.3724705648,53789.058085155564,258921.80938806408,0.16809080651611114,108016.86866483293,91916.61032982449,0.41544949486474203,49720.07197619486,106158.03161634665,0.2486003598809743,69658.9122911087,40492.03106997533,0.8707364036388588
2021-02-01,canada,603240.3680549634,871018.9176563884,52043.35888027724,254860.03333316286,0.1626354965008664,109727.77076655382,93588.34230666737,0.42202988756366855,50140.453316791536,107155.3230509393,0.25070226658395767,55866.96663780231,28362.67129351954,0.6983370829725288
2021-02-08,canada,621000.1630473196,869805.9402056502,54416.07799131342,260370.39453985498,0.17005024372285443,101607.81594572325,85847.06454619186,0.3907992920989356,53475.594040184194,115203.38912626484,0.26737797020092097,39306.28918110971,21193.90528699795,0.4913286147638713
2021-02-15,canada,659546.3610512306,1081733.733168068,174485.35094456788,527864.3354769604,0.5452667217017746,119600.63174390509,103715.12222160914,0.4600024297842503,58073.3399498949,126722.74347789973,0.2903666997494745,70028.04947846959,41057.89792744068,0.8753506184808698
2021-02-22,canada,644440.3982155415,1019568.9787050507,147702.9043285077,461557.53966907645,0.46157157602658655,98853.8896523603,83325.73635480879,0.38020726789369347,53852.57053228412,116128.79765609461,0.2692628526614206,74719.215976357,51857.39609508113,0.9339901997044625
2021-03-01,canada,648944.6922764626,1057948.4559539333,167541.9972813398,509765.9266443288,0.5235687415041869,116776.68460970551,100729.84114316691,0.4491410946527135,61796.413754145586,136446.9550333016,0.3089820687707279,62888.668032279835,33087.371343335486,0.7861083504034979
2021-03-08,canada,620475.5238282954,967040.35382937,140516.09350038413,445104.14636588795,0.43911279218870036,108992.78223662387,92867.38686707143,0.4192030086023995,51351.41577459885,110049.20742478906,0.25675707887299426,45704.53848946776,23594.29279518299,0.5713067311183471
